Diet Sex Time0
II Male 41
II Female 48
II Female 62
I Male 71
I Female 74
III Female 134
I Male 162
II Male 249
II Female 259
II Female 260
II Female 260
II Female 296
II Male 313
I Male 338
III Female 341
II Female 342
I Male 397
I Male 401
II Female 410
III Female 479
I Female 485
I Male 499
I Female 520
I Male 544
III Male 548
I Male 554
I Male 561
I Male 563
III Female 565
III Female 577
III Male 580
I Male 588
I Female 599
III Male 602
I Male 627
III Female 641
III Male 650
III Female 663
I Female 699
I Female 713
I Female 719
I Female 722
III Male 723
I Female 724
I Male 733
I Female 733
II Female 755
II Male 758
II Male 758
II Male 780
II Male 797
III Female 801
III Female 810
I Female 817
III Female 820
III Female 822
I Female 824
III Male 832
III Male 845
I Female 855
I Female 857
I Female 870
II Female 887
III Female 894
II Female 901
II Female 904
III Male 919
II Female 925
I Male 927
II Female 938
II Male 964
III Male 978
II Female 980
I Female 984
I Female 997
III Male 998
II Female 999
III Female 999
II Male 1006
III Male 1022
I Female 1023
III Male 1028
I Female 1039
II Female 1041
I Female 1074
III Female 1080
II Female 1107
III Female 1111
III Female 1123
III Female 1132
II Male 1137
I Female 1143
III Male 1168
I Female 1189
III Female 1210
III Male 1218
II Female 1225
II Female 1232
II Male 1244
II Female 1261
II Male 1294
III Female 1297
II Female 1304
III Male 1306
II Male 1321
II Female 1421
